panel,groups,date,,date 2,cest,session,track,authors,speaker,affiliation,title,description,type,action,link,image
4,three,"Wednesday, 29 Sep",,,,Rethinking Practice,Rethinking Practice,"Greg McInerny, <small>University of Warwick &  The Alan Turing Institute, UK</small><br>
James Tripp, <small>University of Warwick, UK </small><br>
Daniela Szabluk, <small>University of Warwick & Aiimi, UK</small>",Greg McInerny,"University of Warwick & The Alan Turing Institute, UK",How do you visualise data? Revealing the realities of visualisation workflows and design opportunities for visualisation tools.,"This talk presents demos of prototype visualisation tools, developed in response to user-research that investigated how R users, working in and around ‘data science’, visualised their data. Our semi-structured interviews and diagramming activity revealed how visualising data 1) involves frequent, interwoven learning activities to understand data, design possibilities, end-users, techniques and tools, 2) foraging for learning resources away from the visualisation itself, and 3) developing visualisations that enable learning whilst visualising data. Two of the prototypes account for these demands on visualisation practice, and the third enables future user research, but from a distance, via an automated archiving tool.",paper,watch the video,,
4,three,"Wednesday, 29 Sep",,,,,,"RJ Andrews, <small>Info We Trust</small>",RJ Andrews,"Info We Trust, USA",How to plug the big hole in digital viz,"Our love of digital viz blinds us to the one big way it limits us: digital sends us shooting at warp speed in only very particular directions. It is too expensive to do anything different with digital. And when it comes to informing, being different is how we attract and engage our audience’s attention. Before digital, data visualization presented a diverse array of information design solutions. Today, we are lucky to be able to examine these past designs in pursuit of elevating our digital craft.",paper,watch the video,,
4,three,"Wednesday, 29 Sep",,,,,,"Adina Renner, Jonas Oesch and Manuel Roth, <small>Neue Zürcher Zeitung, Switzerland</small>",Adina Renner,"Neue Zürcher Zeitung, Switzerland",Scrolling into the Newsroom – Introducing and establishing scrollytelling as an interactive article format in a traditional media house using design research methods,"Scrollytelling – a technique to animate content as a reader scrolls through an online article – has been around since the 2010s. However, traditional media houses still struggle with integrating such interactive methods into their reporting. At the Swiss daily “Neue Zürcher Zeitung”, we used design research methods to establish a repository that enables journalists to work with a shared vocabulary around scrollytelling. This repository describes various scrollytelling techniques, and contains a collection of tools – self-built and from third parties – to implement these techniques. At Info+, we present learnings from our research process and showcase the scrollytelling repository and some of the articles that have come from it.",lighting-talk,watch the video,,
4,three,"Wednesday, 29 Sep",,,,,,"María del Mar Navarro, <small>University of Arizona, USA</small>",María del Mar Navarro,"University of Arizona, USA",Pictorial statistics in Mexico | The Isotype Institute in 1930s México and the Sixteenth Century Huejotzinco Codex as an example of pre-Isotype pictorial statistics,"This presentation expands on the history of pictorial statistics in México exploring the collaboration between the Isotype Institute and the Cárdenas administration’s education reform efforts, and introduces the Huejotzinco Codex (1531), a pictorial statistics chart presented by the Nahua people in support of a legal case to the Spanish crown.",lighting-talk,watch the video,,
5,three,"Wednesday, 29 Sep",,,,Communicating Science,Communicating Science,"Maggie Hendrie, <small>ArtCenter College of Design, USA</small><br>
Hillary Mushkin and Santiago Lombeyda, <small>California Institute of Technology, USA</small><br>
Scott Davidoff, <small>NASA Jet Propulsion Laboratory, USA</small>",Maggie Hendrie,"ArtCenter College of Design, USA",Co-Design to Drive Scientific Discovery: An Interdisciplinary Visualization Methodology Case Study,"Data visualization frequently provides audiences with novel semantic and computational presentations. How does a multifaceted team expand this scope by harnessing the power of visualization as a tool to think with?  The NASA JPL/Caltech/ ArtCenter data visualization program demonstrates how scientific knowledge, shaped from data and theory, is equally co-constructed from diverse human perspectives. 
We will share case studies from Mars Rover Path planning and PIXLISE, a visual reasoning tool for understanding planetary geology. Working from source data through mixed media artifacts, these projects demonstrate co-design methods for complex scientific domains with real-world applications. Our methodology emphasizes that all participants in the co-design process are both learners and experts. In this dynamic, the design and coding process are unique modes of critical discovery.
",lighting-talk,watch the video,,
5,three,"Wednesday, 29 Sep",,,,,,"Karen Cheng, Vassilissa Semouchkina and Yeechi Chen, <small>University of Washington, USA</small><br>
Kevin Larson, <small>Microsoft, USA</small>","Karen Cheng
","University of Washington, USA","“It Could be Better, But How?” Design Critique in STEM Research Labs","Can scientists improve their visual design abilities by participating in critiques? In design education, a critique is a class session where designers present their work-in-progress and receive feedback from faculty, peers, and invited critics. In this study, we show that an intervention consisting of 1) an introduction to visual principles,  2) an explanation of critique methodology,  and 3) participation in a group critique led to a significant increase in both the quantity and quality of feedback that scientists provided on a set of figures. These findings confirm that critiques are a valuable practice for scientists to integrate into research labs.",lighting-talk,watch the video,,
5,three,"Wednesday, 29 Sep",,,,,,"Jeff MacInnes, <small>Jeff MacInnes Data Visualization, USA</small>",Jeff MacInnes,"Jeff MacInnes Data Visualization, USA",Following the Science: communicating - and celebrating - the worldwide research community's effort to combat COVID-19,"The Covid-19 pandemic tossed 2020 into disarray. But while cities and countries around the globe were shutting down, scientists and researchers from nearly every country embarked on an unprecedented effort to study, understand, and contain a virus that no one had ever seen before. Visualizing that effort presents an opportunity to celebrate their achievements while also providing a behind-the-scenes glimpse of the scientific process more generally, and an appreciation for the resources that it requires. This presentation examines 90,000+ covid-related research articles, and explores how visualization can be used to promote scientific literacy and appreciation among the general public.",paper,watch the video,,
6,four,"Thursday, 30 Sep",,,,Deliberating Health,Deliberating Health,"Gabi Schaffzin, <small>York University, Canada</small>",Gabi Schaffzin,"York University, Canada",Pain and Empathy: The development and evolution of the face-based pain scale,"This presentation traces the design of the face-based pain scale, a history that must be understood through a mid-century convergence between graphic design and medicine. After a brief history of the major influences on the development of face-based scale illustrations and aesthetics, I review each of the most prominently used face-based scales in late twentieth and early twenty-first century medical care and research. I ultimately argue that the graphic pain scale is a critical category of technique and a core component of pain medicine—and thus is a core component of the ways that pain came to be understood and communicated by medical professionals and by people in pain since the late 20th century.",paper,watch the video,,
6,four,"Thursday, 30 Sep",,,,,,"Sue Walker, Josefina Bravo, Al Edwards and Julie Hart, <small>University of Reading, UK</small>",Sue Walker,"University of Reading, UK","Designing instructions for COVID-19 self-tests: how do people use static and video instructions, and what parts of the test are the most difficult to get right?","COVID-19 has seen an explosion of information about how to carry out tests to check for the presence of virus or antibodies. With self-administered rapid tests, patients collect their sample, process it, and get their results within the hour. For testing to be effective, the quality of instructions is as important as technical accuracy. This cross-disciplinary project addresses issues that influence the reliability of COVID-19 lateral flow tests operated by lay people. We will share findings about how to address these issues through visual communication and consider broader implications for the future of point-of-care testing.",paper,watch the video,,
6,four,"Thursday, 30 Sep",,,,,,"Will Stahl-Timmins, <small>The BMJ, UK</small>",Will Stahl-Timmins,"The BMJ, UK",Visualising covid-19 transmission routes,"As the covid-19 pandemic progressed, there were confusing and conflicting messages about how to reduce transmission. Should we wash our hands? Wear a mask, and/or a visor? What if we were outside? Talking loudly? Singing? 
We wanted to make an interactive visual tool that would give people immediate feedback on the impact of protective measures they can take. However, we faced several challenges.
This talk will explain how we dealt with lack of evidence, presenting uncertainty, and managing the relationship between designers, researchers, and journal editors. We describe a new working model that will be explored further in future.
",lighting-talk,watch the video,,
6,four,"Thursday, 30 Sep",,,,,,"Bree McMahon, <small>University of Arkansas, USA</small>",Bree McMahon,"University of Arkansas, USA",The NWA Birth Collective — Using Data and Design to Untangle the Complexities of Maternal Care,"In the United States, the rate of maternal mortality has increased by more than 15% since 2019, according to the Center for Disease Control. Organizations and advocacy groups across the country are working to address this urgent crisis. In Arkansas, the maternal death rate is the fourth highest in the nation. Studies show that alternative birthing options (such as doulas, midwifery, and birth centers) lower the risk of tragic outcomes, but are not equally accessible or well known. Design has the potential to untangle the complexities of birth, and dismantle oppressive systems. Alongside a group of birth workers, we formed the Northwest Arkansas Birth Collective, a non-profit organization investing resources into supporting local birthing persons. This work includes parsing through scattered and complicated data, and reinterpreting it for the public. In doing this, we hope to rally support, disseminate resources and generate conversations with local legislators and hospital administrators.",lighting-talk,watch the video,,
7,four,"Thursday, 30 Sep",,,,,,"Matthew Brehmer, <small>Tableau Research, USA</small>",Matthew Brehmer,"Tableau Research, USA",The Information in Our Hands,"👉 What do people do with their hands when presenting visual representations of data to an audience? Motivated in part by the frustrating absence of nonverbal cues in presentations delivered via video conferencing applications, and in part by the increasing incorporation of interactive and dynamic data visualization in televised newscasts, the aim of this talk will be to reaffirm the importance of gesture when speaking about data. It will also aim to inspire the development of new presentation tools that promote the presence of a human presenter, such as by recognizing natural yet deliberate gestures for revealing and highlighting information.",lighting-talk,watch the video,,
7,four,"Thursday, 30 Sep",,,,,,"Lins Derry, <small>Harvard University, USA</small><br>
Douglas Duhaime, <small>Yale University, USA</small><br>
Jordan Kruguer, Christopher Pietsch, Dario Rodighiero and Jeffrey Schnapp, <small>Harvard University, USA</small>",Lins Derry,"Harvard University, USA",Surprise Machines,"Surprise Machines is a visual investigation that will take the form of a digital installation at the Harvard Art Museums in Spring 2022. The project sets out to visualize and curate the entire universe of the museums’ collections, with the aim of opening up unexpected vistas on the more than 200,000 objects that make them up. To accomplish these surprise encounters, “black box” algorithms are curatorially employed to shape the visualizations, and a “choreographic interface” has been designed to connect the audience’s movement with several unique views of the objects.",lighting-talk,watch the video,,
7,four,"Thursday, 30 Sep",,,,Getting Physical,Getting Physical,"Samuel Huron, <small>Telecom Paris, Institut Polytechnique de Paris, France</small><br>
Till Nagel, <small>Mannheim University of Applied Sciences, Germany</small><br>
Lora Oehlberg and Wesley Willett, <small>University of Calgary, Canada</small>",Samuel Huron,"Telecom Paris, Institut Polytechnique de Paris, France",Making with Data,"While digital technologies have revolutionized how we represent data visually, humans continue the thousand-year tradition of creating physical representations. These physicalizations are experiencing a dramatic renaissance, fueled by a growing enthusiasm for all things data and driven by new fabrication technologies, materials, and processes. 
 
To highlight the diversity of approaches, we present five themes that capture how people are “making with data”. We showcase several first-hand accounts of artists, designers, and scientists creating rich and exciting art pieces, projects, and installations that bring data into the physical world.
     
",lighting-talk,watch the video,,
